label,county_name,sett_name,code
Bahati Njema,Lamu,Bahati Njema,gjnWnEt51sXa8Ps3LMcFa5
Dai,Lamu,Dai,aFrYrgUyAy9dQi6T27MtoF
Dide Waride,Lamu,Dide Waride,nr6vyPtL1BisTM7Pv346aU
Chalalaluma,Lamu,Chalalaluma,qywzoYCvRaHw2c8wEq3i9D
